stat,minutes_bucket,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
reb,17-24,11-15,0,,,,,,,
reb,17-24,13+,0,,,,,,,
reb,17-24,16-20,0,,,,,,,
reb,17-24,2,0,,,,,,,
reb,17-24,21-25,0,,,,,,,
reb,17-24,26-30,0,,,,,,,
reb,17-24,3,0,,,,,,,
reb,17-24,3-4,0,,,,,,,
reb,17-24,31+,0,,,,,,,
reb,17-24,4,0,,,,,,,
reb,17-24,5,0,,,,,,,
reb,17-24,5-6,56,4.798686072684084,4.196428571428571,2.175257449687608,-0.6022575012555121,2.7322332173760038,0.32142857142857145,0.375
reb,17-24,7-8,26,6.986986153214594,6.6923076923076925,2.827599354634983,-0.2946784609069016,3.9472535519781524,0.3076923076923077,0.3076923076923077
reb,17-24,9-10,10,8.735616774765038,7.7,1.7565091729584323,-1.0356167747650384,2.3252351462508245,0.3,0.3
reb,17-24,<=1,0,,,,,,,
reb,17-24,<=10,0,,,,,,,
reb,17-24,<=2,0,,,,,,,
reb,17-24,<=4,204,3.0508210794455106,2.656862745098039,1.6409759268441424,-0.39395833434747146,2.0652009422804247,0.35784313725490197,0.43137254901960786
reb,25-30,11+,0,,,,,,,
reb,25-30,11-12,8,10.802278127420982,11.875,4.261351177482528,1.072721872579018,5.301721796822482,0.625,0.75
reb,25-30,11-15,0,,,,,,,
reb,25-30,13+,3,13.176033775866378,12.333333333333334,2.8162017150460805,-0.8427004425330438,3.4604130054657833,0.3333333333333333,0.3333333333333333
reb,25-30,16-20,0,,,,,,,
reb,25-30,2,0,,,,,,,
reb,25-30,21-25,0,,,,,,,
reb,25-30,26-30,0,,,,,,,
reb,25-30,3,0,,,,,,,
reb,25-30,3-4,0,,,,,,,
reb,25-30,31+,0,,,,,,,
reb,25-30,4,0,,,,,,,
reb,25-30,5,0,,,,,,,
reb,25-30,5-6,106,4.775303589908842,4.433962264150943,2.1056274612243757,-0.3413413257578982,2.5187089484124594,0.37735849056603776,0.4056603773584906
